date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2017-10-03,49.275315886442336,49.469555111746274,49.11190794816303,49.352394104003906,536100,0.0,0.0,0.0,SOXX,SOXX,
2017-10-04,49.29073287353582,49.46647262573242,49.00399625092742,49.46647262573242,873900,0.0,0.0,0.0,SOXX,SOXX,0.0023115093765888606
2017-10-05,49.67612386378522,49.682288003420325,49.22289552934394,49.5096321105957,538200,0.0,0.0,0.0,SOXX,SOXX,0.0008724997472495666
2017-10-06,49.33080259246384,49.719284506916885,49.32772228700506,49.7038688659668,742800,0.0,0.0,0.0,SOXX,SOXX,0.003923211445748587
2017-10-09,49.89810814510005,50.1262624542863,49.84260972053554,50.083099365234375,835200,0.0,0.0,0.0,SOXX,SOXX,0.00762979840241873
2017-10-10,50.53326154458729,50.53326154458729,49.86113014176851,50.36368942260742,756300,0.0,0.0,0.0,SOXX,SOXX,0.005602489880405015
2017-10-11,50.33284914856653,50.72132762917093,50.265018900508956,50.7089958190918,859200,0.0,0.0,0.0,SOXX,SOXX,0.006856256966936369
2017-10-12,50.690481057813635,50.88163640586362,50.50857368243123,50.54865646362305,584400,0.0,0.0,0.0,SOXX,SOXX,-0.003161950909869593
2017-10-13,50.78606865823385,51.05122195310541,50.65349201079807,50.872398376464844,531900,0.0,0.0,0.0,SOXX,SOXX,0.006404560189938513
2017-10-16,51.026550715165484,51.12212839359788,50.77064543298643,51.112876892089844,543300,0.0,0.0,0.0,SOXX,SOXX,0.004727092161950219
2017-10-17,51.137555282276914,51.137555282276914,50.82307120169756,51.069725036621094,558900,0.0,0.0,0.0,SOXX,SOXX,-0.0008442462661581995
2017-10-18,51.25780150882946,51.3348797316877,50.570251058640444,51.24238586425781,712200,0.0,0.0,0.0,SOXX,SOXX,0.00338088422275451
2017-10-19,50.847723636816745,51.11904455976187,50.32666862777859,51.112876892089844,1063800,0.0,0.0,0.0,SOXX,SOXX,-0.0025273798240199596
2017-10-20,51.51369471530427,51.62777187743252,51.29787219896085,51.37495040893555,1083600,0.0,0.0,0.0,SOXX,SOXX,0.005127348190535175
2017-10-23,51.624689450746196,51.90217807104856,51.38111947785453,51.62777328491211,898500,0.0,0.0,0.0,SOXX,SOXX,0.00492113128994065
2017-10-24,51.772680272593405,52.0378335487425,51.578441066599794,51.98850631713867,643500,0.0,0.0,0.0,SOXX,SOXX,0.0069871894384410105
2017-10-25,51.70177502681962,51.84051581884914,50.782986440005665,51.30712890625,1568100,0.0,0.0,0.0,SOXX,SOXX,-0.013106308666230082
2017-10-26,51.39654092049899,51.7171926700674,51.32871067485155,51.60927963256836,1145100,0.0,0.0,0.0,SOXX,SOXX,0.0058890593326799134
2017-10-27,51.954591509712934,52.759302899858355,51.729521003128895,52.68838882446289,1058400,0.0,0.0,0.0,SOXX,SOXX,0.020909208568250515
2017-10-30,52.521899336207355,53.052205950713414,52.521899336207355,52.83021926879883,1579200,0.0,0.0,0.0,SOXX,SOXX,0.002691872868013867
2017-10-31,52.96278881813461,53.40676920881704,52.8178803649443,53.25260925292969,1031400,0.0,0.0,0.0,SOXX,SOXX,0.007995234355961056
2017-11-01,53.68425293630215,53.72125188931697,52.59280852126557,53.05836868286133,1516500,0.0,0.0,0.0,SOXX,SOXX,-0.0036475315067809877
2017-11-02,53.160103157533506,53.459171517607615,52.75004148218272,53.320430755615234,4100100,0.0,0.0,0.0,SOXX,SOXX,0.004939127969054047
2017-11-03,53.57942280760966,54.26696961842948,53.138529798546784,54.26388931274414,2683800,0.0,0.0,0.0,SOXX,SOXX,0.017694128568710887
2017-11-06,54.791122402478855,55.056275730593505,54.399556551258286,55.03160858154297,3057600,0.0,0.0,0.0,SOXX,SOXX,0.014147885058038545
2017-11-07,54.96994510638694,55.11176974376933,54.6061302448246,54.982276916503906,1299300,0.0,0.0,0.0,SOXX,SOXX,-0.0008964241880367041
2017-11-08,54.92985804284204,55.20426284920601,54.71403550470568,55.15801239013672,1204500,0.0,0.0,0.0,SOXX,SOXX,0.003196220372970071
2017-11-09,54.68012521108242,54.68012521108242,53.39135409200877,54.054237365722656,3302400,0.0,0.0,0.0,SOXX,SOXX,-0.020011145735400637
2017-11-10,54.242323919300304,54.44581469612041,54.08816391912609,54.41189956665039,1166400,0.0,0.0,0.0,SOXX,SOXX,0.006616728278078243
